 P2,P3,P4,P5,P6,P9,TRUE
42,69,65,37,45,42,50
40,66,68,37,45,42,50
39,62,67,33,50,39,50
37,59,63,35,48,37,50
38,62,63,34,42,44,50
37,61,67,35,40,42,50
38,62,66,31,45,40,50
38,63,67,29,44,38,50
36,63,69,29,43,44,50
40,65,69,29,45,45,50
41,62,69,28,59,46,50
41,61,69,30,55,46,50
42,60,70,33,54,43,50
41,57,68,32,63,49,50
41,57,69,33,61,48,50
38,57,66,35,58,48,50
37,56,69,35,57,47,50
38,57,65,34,52,52,50
37,58,67,30,51,48,50
38,60,68,32,50,48,50
38,58,66,34,58,43,50
39,63,64,33,58,44,50
39,59,66,31,55,42,50
39,57,67,32,52,43,50
39,61,68,34,49,46,50
38,58,69,31,46,44,50
38,57,65,31,45,41,50
37,54,65,30,43,39,50
37,56,66,30,48,38,50
37,61,66,26,49,45,50
39,57,68,29,55,45,50
38,55,68,30,62,42,50
38,54,67,33,58,40,50
37,58,68,34,56,40,50
38,57,67,32,52,39,50
39,61,64,29,51,41,50
39,64,65,31,49,40,50
37,62,67,30,56,42,50
36,64,68,31,52,39,50
36,64,68,31,56,41,50
38,62,69,32,48,47,50
36,61,69,32,46,44,50
37,63,70,32,44,43,50
38,60,70,34,45,42,50
38,61,70,32,45,42,50
37,62,69,29,44,42,50
40,61,70,34,44,40,50
41,60,68,34,48,38,50
40,60,67,34,60,37,50
38,64,71,33,67,32,50
39,62,69,33,65,36,50
37,64,67,35,57,38,50
38,65,69,35,48,45,50
38,66,67,33,50,44,50
38,65,66,28,60,48,50
39,60,66,32,51,49,50
37,58,67,35,44,52,50
35,58,67,35,42,49,50
38,58,66,36,46,46,50
39,57,65,37,49,43,50
40,57,66,36,57,45,50
41,57,68,37,57,43,50
41,61,68,33,54,44,50
41,59,67,34,50,43,50
40,61,67,33,51,40,50
39,62,67,32,45,43,50
40,61,67,33,49,41,50
40,62,66,29,50,40,50
41,64,66,31,62,39,50
42,61,66,31,60,39,50
40,61,67,27,56,37,50
41,63,65,31,49,34,50
41,62,65,31,48,34,50
40,60,64,34,51,34,50
41,61,66,31,52,35,50
41,59,65,32,49,36,50
42,60,67,32,48,42,50
42,59,69,30,46,43,50
39,62,67,34,42,41,50
39,64,67,36,38,39,50
38,63,69,39,41,39,50
37,60,65,37,43,38,50
40,60,65,37,40,45,50
41,58,68,36,38,41,50
41,60,65,38,36,41,50
42,59,66,33,49,39,50
43,58,66,33,49,42,50
41,58,66,35,49,40,50
40,62,67,33,49,40,50
38,65,66,33,49,40,50
38,67,67,34,46,40,50
40,64,64,31,45,41,50
40,65,69,30,47,42,50
39,61,67,31,51,42,50
41,58,66,31,53,46,50
41,57,65,30,56,46,50
40,56,64,33,56,43,50
39,56,61,32,55,43,50
38,56,62,35,55,39,50
